id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;feriado
562433.0;2023-11-20;segunda-feira;04:40:00;SP;153.0;270,9;OCAUCU;Condutor Dormindo;Capotamento;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1;1;0;0;0;0;0;1;-22,34736026;-49,89590137;SPRF-SP;DEL07-SP;UOP02-DEL07-SP;false
562482.0;2023-11-20;segunda-feira;08:20:00;SP;116.0;515;CAJATI;Acumulo de água sobre o pavimento;Eventos atípicos;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Curva;Não;4;0;0;2;2;0;2;2;-24,86887764;-48,21071148;SPRF-SP;DEL05-SP;UOP02-DEL05-SP;false
562582.0;2023-11-20;segunda-feira;20:30:00;SP;116.0;221;GUARULHOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;4;0;1;0;3;0;1;3;-23,46802395;-46,50704901;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
562589.0;2023-11-20;segunda-feira;15:50:00;SP;116.0;347;MIRACATU;Chuva;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;Não;5;0;1;0;3;1;1;2;-24,04699491;-47,19706111;SPRF-SP;DEL04-SP;UOP03-DEL04-SP;false
562622.0;2023-11-21;terça-feira;03:15:00;SP;116.0;318;JUQUITIBA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Amanhecer;Decrescente;Garoa/Chuvisco;Múltipla;Reta;Sim;2;0;2;0;0;0;2;1;-23,92536222;-46,99376156;SPRF-SP;DEL04-SP;UOP03-DEL04-SP;false
562640.0;2023-11-01;quarta-feira;13:10:00;SP;153.0;88;MIRASSOL;Condutor Dormindo;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;6;0;3;0;3;0;3;4;-20,94945283;-49,5429491;SPRF-SP;DEL09-SP;UOP01-DEL09-SP;false
562670.0;2023-11-21;terça-feira;09:00:00;SP;116.0;350,5;MIRACATU;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;"Declive;Curva                 ";Não;3;0;1;0;2;0;1;2;-24,05853299;-47,21739301;SPRF-SP;DEL04-SP;UOP03-DEL04-SP;false
562711.0;2023-11-21;terça-feira;13:30:00;SP;116.0;291;ITAPECERICA DA SERRA;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;4;0;0;0;4;0;0;4;-23,73826593;-46,89672721;SPRF-SP;DEL04-SP;UOP01-DEL04-SP;false
562741.0;2023-11-21;terça-feira;15:30:00;SP;116.0;209;GUARULHOS;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Sim;3;0;0;0;3;0;0;3;-23,42511799;-46,40221101;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
562812.0;2023-11-22;quarta-feira;00:40:00;SP;116.0;103,2;TAUBATE;Velocidade Incompatível;Engavetamento;Com Vítimas Fatais;Plena Noite;Decrescente;Chuva;Dupla;"Reta;Declive                  ";Não;5;3;0;0;2;0;0;3;-22,99919465;-45,49788917;SPRF-SP;DEL02-SP;UOP02-DEL02-SP;false
